PCode,REGION,DISTRICT,Code_CSREF,STRUCTURE,PCODE2,TYPE,DATE OUVERTURE,NBRE VILLAGE,DISTANCE,ACCESSIBILITE,Source,obs,Longitude,Latitude
ML02R05C001,KOULIKORO,KANGABA,ML02R05,BALAN-BAKAMA,ML02R05C001,CSCOM,1-Jan-2007,6,82,NON,OMS Survey,,-8.85478,12.23193
ML01R05C002,KAYES,KITA,ML01R05,BALANDOUGOU,ML01R05C002,CSCOM,18-May-2005,8,55,OUI,OMS Survey,,-9.551211529,13.35267547
ML03R08C002,SIKASSO,YANFOLILA,ML03R08,BALANFINA,ML03R08C002,CSCOM,10-Jan-2002,,,,OMS Survey,,-7.89,11.06
ML01R05C003,KAYES,KITA,ML01R05,BALEA,ML01R05C003,CSCOM,1-Feb-2011,3,185,OUI,OMS Survey,,-9.964861404,12.22388722
ML02R08C002,KOULIKORO,NARA,ML02R08,BALLE,ML02R08C002,CSCOM,1-Jan-1997,35,160,OUI,OMS Survey,,-8.586604653,15.3388251
ML01R02C002,KAYES,BAFOULABE,ML01R02,BAMAFELE,ML01R02C002,CSCOM,20-May-1998,14,,,OMS Survey,,-10.50786103,13.26460597
ML05R06C002,MOPTI,KORO,ML05R06,BAMBA,ML05R06C002,CSCOM,12-Aug-2000,28,80,OUI,OMS Survey,,-3.108000023,14.6467896
ML03R02C002,SIKASSO,BOUGOUNI,ML03R02,BAMBA,ML03R02C002,CSCOM,1-Dec-2005,17,110,OUI,OMS Survey,,-7.155,10.37
ML07R03C004,GAO,BOUREM,ML07R03,BAMBA,ML07R03C004,CSCOM,,7,1,NON,OMS Survey,,-1.401399021,17.02947785
,MOPTI,KORO,ML05R06,BAMBA KORO,0,CSCOM,,,,,Cluster Nutrition,,-3.09839,14.6439
ML06R04C001,TOMBOUCTOU,GOURMA-RHAROUS,ML06R04,BAMBARA MAOUDE,ML06R04C001,CSCOM,13-Mar-2003,14,200,OUI,OMS Survey,,-2.786238,15.847383
